학번,전공1,전공2,전공3,전공4
2013-13393,심리학전공,미적가치경영,,
2013-13394,경제학전공,생물공학,,
2013-13395,사회학전공,경영학전공,,
2013-13396,사회학전공,국제개발협력학,,
2013-13398,경제학전공,전기·정보공학전공,,
2013-13399,경제학전공,,,
2013-13400,연합전공 정보문화학,경영학전공,,
2013-13401,영어영문학전공,경영학전공,,
2013-13402,경제학전공,,,
2013-13403,영어영문학전공,,,
2013-13404,경영학전공,,,
2013-13405,경제학전공,,,
2013-13406,인류학전공,경제학전공,,
2013-13407,경제학전공,통계학전공,,
2013-13408,사회학전공,연합전공 정보문화학,,
2013-13409,경영학전공,,,
2013-13410,철학전공,경제학전공,,
2013-13411,경영학전공,동아시아환경학,,
2013-13412,연합전공 정보문화학,경영학전공,,
2013-13413,연합전공 정보문화학,컴퓨터공학전공,,
2013-13415,경제학전공,,,
2013-13416,인류학전공,경제학전공,,
2013-13417,경제학전공,,,
2013-13418,경영학전공,컴퓨터공학전공,,
2013-13419,심리학전공,경영학전공,,
2013-13420,심리학전공,경제학전공,,
2013-13421,연합전공 정보문화학,경영학전공,,
2013-13422,외교학전공,동아시아인문학,,
2013-13423,경영학전공,,,
2013-13424,연합전공 정보문화학,컴퓨터공학전공,,
2013-13425,국사학전공,경제학전공,,
2013-13426,수리과학전공,,,
2013-13427,연합전공 정보문화학,컴퓨터공학전공,,
2013-13428,수리과학전공,물리학전공,,
2013-13429,심리학전공,경영학전공,,
2013-13430,통계학전공,컴퓨터공학전공,,
2013-13431,경영학전공,수리과학전공,,
2013-13433,경영학전공,운동과학,,
2013-13434,경제학전공,통계학전공,,
2013-13435,인류학전공,생명과학전공,,
2013-13436,컴퓨터공학전공,,,
2013-13437,경제학전공,화학생물공학전공,,
2013-13438,경제학전공,,,
2013-13439,수리과학전공,,,
